Epoch 147: duration loss = 0.357 | prior loss = 1.281 | diffusion loss = 0.115
Epoch 148: duration loss = 0.357 | prior loss = 1.281 | diffusion loss = 0.115
Epoch 149: duration loss = 0.357 | prior loss = 1.281 | diffusion loss = 0.111
Epoch 150: duration loss = 0.357 | prior loss = 1.280 | diffusion loss = 0.111
Epoch 151: duration loss = 0.356 | prior loss = 1.280 | diffusion loss = 0.110
Epoch 152: duration loss = 0.356 | prior loss = 1.280 | diffusion loss = 0.110
Epoch 153: duration loss = 0.356 | prior loss = 1.280 | diffusion loss = 0.111
Epoch 154: duration loss = 0.355 | prior loss = 1.279 | diffusion loss = 0.113
Epoch 155: duration loss = 0.356 | prior loss = 1.279 | diffusion loss = 0.112
Epoch 156: duration loss = 0.354 | prior loss = 1.278 | diffusion loss = 0.113
Epoch 157: duration loss = 0.355 | prior loss = 1.278 | diffusion loss = 0.111
Epoch 158: duration loss = 0.354 | prior loss = 1.279 | diffusion loss = 0.112
Epoch 159: duration loss = 0.354 | prior loss = 1.278 | diffusion loss = 0.112
Epoch 160: duration loss = 0.354 | prior loss = 1.278 | diffusion loss = 0.114
Epoch 161: duration loss = 0.354 | prior loss = 1.278 | diffusion loss = 0.109
Epoch 162: duration loss = 0.353 | prior loss = 1.276 | diffusion loss = 0.111
Epoch 163: duration loss = 0.353 | prior loss = 1.276 | diffusion loss = 0.113
Epoch 164: duration loss = 0.353 | prior loss = 1.276 | diffusion loss = 0.112
Epoch 165: duration loss = 0.353 | prior loss = 1.276 | diffusion loss = 0.111
Epoch 166: duration loss = 0.352 | prior loss = 1.276 | diffusion loss = 0.111
Epoch 167: duration loss = 0.353 | prior loss = 1.276 | diffusion loss = 0.114
Epoch 168: duration loss = 0.352 | prior loss = 1.276 | diffusion loss = 0.112
Epoch 169: duration loss = 0.352 | prior loss = 1.275 | diffusion loss = 0.113
Epoch 170: duration loss = 0.352 | prior loss = 1.275 | diffusion loss = 0.113
Epoch 171: duration loss = 0.351 | prior loss = 1.275 | diffusion loss = 0.109
Epoch 172: duration loss = 0.351 | prior loss = 1.275 | diffusion loss = 0.110
Epoch 173: duration loss = 0.351 | prior loss = 1.275 | diffusion loss = 0.114
Epoch 174: duration loss = 0.352 | prior loss = 1.275 | diffusion loss = 0.111
Epoch 175: duration loss = 0.351 | prior loss = 1.274 | diffusion loss = 0.113
Epoch 176: duration loss = 0.351 | prior loss = 1.274 | diffusion loss = 0.113
Epoch 177: duration loss = 0.350 | prior loss = 1.274 | diffusion loss = 0.113
Epoch 178: duration loss = 0.350 | prior loss = 1.273 | diffusion loss = 0.109
Epoch 179: duration loss = 0.350 | prior loss = 1.272 | diffusion loss = 0.114
Epoch 180: duration loss = 0.349 | prior loss = 1.272 | diffusion loss = 0.112
